Type of materials,Sub_type of materials,Functioal group/drug,Abbreviation,Shape,Agglomeration,Zeta potential,Cell_Type,Stimulant,Cellular uptake,Pro_inflammatoary ,Anti_inflammatoary ,Apoptosis,Organism,Gender,Dose times (Single dose/Multiple dose),Administration route,Injury_Model,Biosafety,Recovery,Reference,Unnamed: 27,Size (nm)_min,Size (nm)_max,NPs_Conc (ug/mL)_min,NPs_Conc (ug/mL)_max,Stimulant_Conc(ug/ml)_min,Stimulant_Conc(ug/ml)_max,Age (Weeks)_min,Age (Weeks)_max,Weight (g)_min,Weight (g)_max,Dose_invivo_ (mg/Kg)_min,Dose_invivo_ (mg/Kg)_max
Inorganic,,Chloroquine,Zein–CQ NPs,Sphere,No,Negative,,Inflammatory stimuli,,Low,High,Low,Small Rodents,Female,Multiple,Other,Spinal Injury,Good,Good,Zein nanoparticles loaded with chloroquine improve functional recovery and attenuate neuroinflammation after spinal cord injury,https://www.sciencedirect.com/science/article/pii/S138589472203368X#s0095,100.0,200.0,10.0,100.0,0.0,10.0,5.0,10.0,50.0,,10.0,
Inorganic,Zein,Chloroquine,Zein–CQ NPs,Sphere,No,Negative,Glial,Inflammatory stimuli,,Low,High,Low,,,,,Spinal Injury,Good,,Zein nanoparticles loaded with chloroquine improve functional recovery and attenuate neuroinflammation after spinal cord injury,https://www.sciencedirect.com/science/article/pii/S138589472203368X#s0095,100.0,200.0,10.0,100.0,0.0,10.0,,,,,,
Organic,,,,Sphere,,Negative ,,Inflammatory stimuli,,Low,High,Low,Small Rodents,Female,Multiple,Oral,Brain Disease,Good,Good,Pectin-zein-IPA nanoparticles promote functional recovery and alleviate neuroinflammation after spinal cord injury,https://jMissingnobiotechnology.biomedcentral.com/articles/10.1186/s12951-025-03224-1,200.0,,500.0,,,,,,,,10.0,100.0
Organic,,,,Sphere,,Negative ,Glial,Inflammatory stimuli,,Low,High,Low,,,,,Brain Disease,Good,,Pectin-zein-IPA nanoparticles promote functional recovery and alleviate neuroinflammation after spinal cord injury,https://jMissingnobiotechnology.biomedcentral.com/articles/10.1186/s12951-025-03224-1,200.0,,500.0,,,,,,,,,
Hybrid,,,,Sphere,,,,Inflammatory stimuli,,LOW,High,,Small Rodents,Male,Single,Intravenous,Spinal Injury,Good,Good,Brain targeted lipid nanoaprticles with Hv1 iinhibitors alleiviate neuroinflammation post-ischemic stroke,https://jMissingnobiotechnology.biomedcentral.com/articles/10.1186/s12951-025-03540-6#Sec12,10.0,100.0,100.0,500.0,0.0,10.0,,,,,10.0,
Hybrid,,,,Sphere,,,Glial,Inflammatory stimuli,,,,,,,,,Spinal Injury,,,Brain targeted lipid nanoaprticles with Hv1 iinhibitors alleiviate neuroinflammation post-ischemic stroke,https://jMissingnobiotechnology.biomedcentral.com/articles/10.1186/s12951-025-03540-6#Sec12,10.0,100.0,100.0,500.0,0.0,10.0,,,,,,
Hybrid,,,,Sphere,No,Negative ,,Inflammatory stimuli,Low,Low,High,Low,Small Rodents,Both,Multiple,Other,Spinal Injury,Good,Good,A hydrogel-based nanoparticles sustained-release system selectively targeting pro-inflammatory microglia for spinal cord injury repair,https://www.sciencedirect.com/science/article/pii/S0168365925007928#ab0015,100.0,200.0,1.0,10.0,0.0,10.0,5.0,10.0,1.0,50.0,10.0,
Hybrid,,,,Sphere,No,Negative ,Glial,Inflammatory stimuli,Low,Low,High,Low,,,,,Spinal Injury,Good,Good,A hydrogel-based nanoparticles sustained-release system selectively targeting pro-inflammatory microglia for spinal cord injury repair,https://www.sciencedirect.com/science/article/pii/S0168365925007928#ab0015,100.0,200.0,1.0,10.0,0.0,10.0,,,,,,
Carbon,,,,Non-Sphere,,,Other,Inflammatory stimuli,High,Low,Low,Low,,,,,Peripheral Nerve,Good,Good,Proinflammatory Effect of Carbon-Based nanomaterials: In Vitro Study on Stimulation of Inflammasome NLRP3 via Destabilisation of Lysosomes,https://pmc.ncbi.nlm.nih.gov/articles/PMC7152843/#abstract1,200.0,,10.0,100.0,0.0,10.0,,,,,,
Carbon,,,,Sphere,Yes,Negative ,Other,,,,,High,,,,,Brain Disease,Bad,Bad,Effect of carbon nanonomaterial dimension on the functional activity and degeneration of neurons,https://www.sciencedirect.com/science/article/pii/S0142961221005895#abs0010,,10.0,10.0,100.0,,,,,,,,
